127.0.0.1 - - [03/Sep/2024:10:46:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:47:31 +0530] "GET /sales/login HTTP/1.1" 200 10623
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:47:31 +0530] "GET /sales/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:47:32 +0530] "GET /sales/img/favicon.ico HTTP/1.1" 404 121
127.0.0.1 - - [03/Sep/2024:10:47:53 +0530] "POST /salesCore/login HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:47:54 +0530] "POST /sales/login HTTP/1.1" 302 -
127.0.0.1 - - [03/Sep/2024:10:47:55 +0530] "POST /salesCore/getAllBudget HTTP/1.1" 200 2883
127.0.0.1 - - [03/Sep/2024:10:47:55 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:47:56 +0530] "GET /sales/dashboard HTTP/1.1" 200 48577
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:47:56 +0530] "GET /sales/yearBudgets HTTP/1.1" 500 129
127.0.0.1 - - [03/Sep/2024:10:47:56 +0530] "POST /salesCore/getDashboardData HTTP/1.1" 200 4400
127.0.0.1 - - [03/Sep/2024:10:47:56 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [03/Sep/2024:10:47:56 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:47:56 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:47:56 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:47:56 +0530] "GET /sales/getChartData HTTP/1.1" 200 478
127.0.0.1 - - [03/Sep/2024:10:47:59 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2543
127.0.0.1 - - [03/Sep/2024:10:47:59 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:48:02 +0530] "GET /sales/set-target HTTP/1.1" 200 71734
127.0.0.1 - - [03/Sep/2024:10:48:09 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [03/Sep/2024:10:48:09 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:48:09 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:48:09 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
127.0.0.1 - - [03/Sep/2024:10:48:35 +0530] "POST /salesCore/getAllBudget HTTP/1.1" 200 2883
127.0.0.1 - - [03/Sep/2024:10:48:35 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:48:35 +0530] "GET /sales/dashboard HTTP/1.1" 200 48577
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:48:35 +0530] "GET /sales/yearBudgets HTTP/1.1" 500 129
127.0.0.1 - - [03/Sep/2024:10:48:35 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
127.0.0.1 - - [03/Sep/2024:10:48:35 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:48:35 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:48:35 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [03/Sep/2024:10:48:35 +0530] "POST /salesCore/getDashboardData HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [03/Sep/2024:10:48:36 +0530] "GET /sales/getChartData HTTP/1.1" 200 478
127.0.0.1 - - [03/Sep/2024:11:01:42 +0530] "POST /salesCore/getAllBudget HTTP/1.1" 200 2883
127.0.0.1 - - [03/Sep/2024:11:01:42 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:01:42 +0530] "GET /sales/dashboard HTTP/1.1" 200 48577
127.0.0.1 - - [03/Sep/2024:11:01:42 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:01:42 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [03/Sep/2024:11:01:42 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:01:42 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:01:42 +0530] "GET /sales/yearBudgets HTTP/1.1" 500 129
127.0.0.1 - - [03/Sep/2024:11:01:42 +0530] "POST /salesCore/getDashboardData HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:01:42 +0530] "GET /sales/getChartData HTTP/1.1" 200 478
127.0.0.1 - - [03/Sep/2024:11:01:43 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2543
127.0.0.1 - - [03/Sep/2024:11:01:43 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:01:43 +0530] "GET /sales/set-target HTTP/1.1" 200 71930
127.0.0.1 - - [03/Sep/2024:11:01:43 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [03/Sep/2024:11:01:43 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:01:43 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:01:43 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
127.0.0.1 - - [03/Sep/2024:11:03:55 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2543
127.0.0.1 - - [03/Sep/2024:11:03:55 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:03:55 +0530] "GET /sales/set-target HTTP/1.1" 200 71838
127.0.0.1 - - [03/Sep/2024:11:03:55 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [03/Sep/2024:11:03:55 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:03:55 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:03:55 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
127.0.0.1 - - [03/Sep/2024:11:03:56 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2543
127.0.0.1 - - [03/Sep/2024:11:03:56 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:03:56 +0530] "GET /sales/set-target HTTP/1.1" 200 71838
127.0.0.1 - - [03/Sep/2024:11:03:56 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [03/Sep/2024:11:03:56 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:03:56 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:03:56 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
127.0.0.1 - - [03/Sep/2024:11:05:02 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2543
127.0.0.1 - - [03/Sep/2024:11:05:02 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:05:02 +0530] "GET /sales/set-target HTTP/1.1" 200 71936
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:05:02 +0530] "GET /sales/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:05:02 +0530] "GET /sales/fonts/boxicons.css HTTP/1.1" 200 86510
0:0:0:0:0:0:0:1 - - [03/Sep/2024:11:05:02 +0530] "GET /sales/css/select2.css HTTP/1.1" 200 26260
