127.0.0.1 - - [14/Aug/2024:10:43:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:10 +0530] "GET /sales HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:10 +0530] "GET /sales/ HTTP/1.1" 200 10623
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:11 +0530] "GET /sales/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:11 +0530] "GET /sales/img/favicon.ico HTTP/1.1" 404 121
127.0.0.1 - - [14/Aug/2024:10:55:26 +0530] "POST /salesCore/login HTTP/1.1" 400 94
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:26 +0530] "POST /sales/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:26 +0530] "GET /sales/login?error=fromhandler HTTP/1.1" 200 10669
127.0.0.1 - - [14/Aug/2024:10:55:45 +0530] "POST /salesCore/login HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:46 +0530] "POST /sales/login HTTP/1.1" 302 -
127.0.0.1 - - [14/Aug/2024:10:55:46 +0530] "POST /salesCore/getAllUserDetails HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:46 +0530] "GET /sales/userList HTTP/1.1" 200 35517
127.0.0.1 - - [14/Aug/2024:10:55:46 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
127.0.0.1 - - [14/Aug/2024:10:55:46 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:46 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:46 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [14/Aug/2024:10:55:49 +0530] "POST /salesCore/getAllUserDetails HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:49 +0530] "GET /sales/userList HTTP/1.1" 200 35517
127.0.0.1 - - [14/Aug/2024:10:55:49 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:49 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
127.0.0.1 - - [14/Aug/2024:10:55:49 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:49 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [14/Aug/2024:10:55:51 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:52 +0530] "GET /sales/zonelist HTTP/1.1" 200 18426
127.0.0.1 - - [14/Aug/2024:10:55:52 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
