127.0.0.1 - - [29/Aug/2024:10:47:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:48:52 +0530] "GET /sales/set-target HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:48:53 +0530] "GET /sales/login HTTP/1.1" 200 10623
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:48:53 +0530] "GET /sales/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Aug/2024:10:49:03 +0530] "POST /salesCore/login HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:49:04 +0530] "POST /sales/login HTTP/1.1" 302 -
127.0.0.1 - - [29/Aug/2024:10:49:04 +0530] "POST /salesCore/getAllBudget HTTP/1.1" 200 2883
127.0.0.1 - - [29/Aug/2024:10:49:05 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:49:06 +0530] "GET /sales/dashboard HTTP/1.1" 200 45576
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:49:06 +0530] "GET /sales/yearBudgets HTTP/1.1" 500 129
127.0.0.1 - - [29/Aug/2024:10:49:06 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [29/Aug/2024:10:49:06 +0530] "POST /salesCore/getDashboardData HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:49:06 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [29/Aug/2024:10:49:06 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:49:06 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:49:06 +0530] "GET /sales/getChartData HTTP/1.1" 200 490
127.0.0.1 - - [29/Aug/2024:10:49:10 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2519
127.0.0.1 - - [29/Aug/2024:10:49:10 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:49:11 +0530] "GET /sales/set-target HTTP/1.1" 200 61671
127.0.0.1 - - [29/Aug/2024:10:49:11 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:49:11 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [29/Aug/2024:10:49:11 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:49:11 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:54:22 +0530] "POST /sales/saveTarget HTTP/1.1" 500 128
