127.0.0.1 - - [13/Aug/2024:11:30:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:30:22 +0530] "GET /sales/userList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:30:22 +0530] "GET /sales/login HTTP/1.1" 200 10623
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:30:22 +0530] "GET /sales/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2024:11:30:30 +0530] "POST /salesCore/login HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:30:30 +0530] "POST /sales/login HTTP/1.1" 302 -
127.0.0.1 - - [13/Aug/2024:11:30:30 +0530] "POST /salesCore/getAllUserDetails HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:30:31 +0530] "GET /sales/userList HTTP/1.1" 200 32655
127.0.0.1 - - [13/Aug/2024:11:30:31 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
127.0.0.1 - - [13/Aug/2024:11:30:31 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:30:31 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:30:31 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:31:02 +0530] "GET /sales/changepassword HTTP/1.1" 200 9147
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:31:07 +0530] "GET /sales/changepassword HTTP/1.1" 200 9147
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:31:09 +0530] "GET /sales/changepassword HTTP/1.1" 200 9147
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:31:27 +0530] "GET /sales/changepassword HTTP/1.1" 200 9156
127.0.0.1 - - [13/Aug/2024:11:31:47 +0530] "POST /salesCore/changepassword HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:31:47 +0530] "POST /sales/setPassword HTTP/1.1" 200 90
127.0.0.1 - - [13/Aug/2024:11:31:49 +0530] "POST /salesCore/getAllLeadDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:31:49 +0530] "GET /sales/leadList HTTP/1.1" 200 20517
127.0.0.1 - - [13/Aug/2024:11:31:49 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:31:49 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [13/Aug/2024:11:31:49 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:31:49 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
127.0.0.1 - - [13/Aug/2024:11:32:11 +0530] "POST /salesCore/getAllUserDetails HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:32:11 +0530] "GET /sales/userList HTTP/1.1" 200 32655
127.0.0.1 - - [13/Aug/2024:11:32:11 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
127.0.0.1 - - [13/Aug/2024:11:32:11 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [13/Aug/2024:11:32:11 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
