127.0.0.1 - - [16/Aug/2024:10:42:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:42:30 +0530] "GET /sales/ HTTP/1.1" 200 10623
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:42:31 +0530] "GET /sales/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:42:31 +0530] "GET /sales/img/reload.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:42:31 +0530] "GET /sales/img/captcha-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:42:31 +0530] "GET /sales/img/favicon.ico HTTP/1.1" 404 121
127.0.0.1 - - [16/Aug/2024:10:51:58 +0530] "POST /salesCore/login HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:51:59 +0530] "POST /sales/login HTTP/1.1" 302 -
127.0.0.1 - - [16/Aug/2024:10:52:00 +0530] "POST /salesCore/getAllBudget HTTP/1.1" 200 2883
127.0.0.1 - - [16/Aug/2024:10:52:00 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:52:01 +0530] "GET /sales/css/select2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:52:01 +0530] "GET /sales/dashboard HTTP/1.1" 200 45192
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:52:01 +0530] "GET /sales/img/leadCaptured.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:52:01 +0530] "GET /sales/img/in-progress.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:52:01 +0530] "GET /sales/img/won.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:52:01 +0530] "GET /sales/img/proposal.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:52:01 +0530] "GET /sales/img/lost.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:52:01 +0530] "GET /sales/js/select2.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Aug/2024:10:52:01 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [16/Aug/2024:10:52:01 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
