0:0:0:0:0:0:0:1 - - [26/Jul/2024:12:14:57 +0530] "GET /sales/getChartData HTTP/1.1" 200 463
127.0.0.1 - - [26/Jul/2024:12:15:00 +0530] "POST /salesCore/getDashboardData HTTP/1.1" 200 3095
127.0.0.1 - - [26/Jul/2024:12:15:00 +0530] "POST /salesCore/getYearBudgets HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [26/Jul/2024:12:15:00 +0530] "GET /sales/getChartData?year%5B%5D=2024-25 HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [26/Jul/2024:12:15:00 +0530] "GET /sales/yearBudgets?year%5B%5D=2024-25 HTTP/1.1" 200 2083
127.0.0.1 - - [26/Jul/2024:12:15:03 +0530] "POST /salesCore/getDashboardData HTTP/1.1" 200 2371
127.0.0.1 - - [26/Jul/2024:12:15:03 +0530] "POST /salesCore/getYearBudgets HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [26/Jul/2024:12:15:03 +0530] "GET /sales/getChartData?year%5B%5D=2024-25&zone%5B%5D=North HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Jul/2024:12:15:03 +0530] "GET /sales/yearBudgets?year%5B%5D=2024-25&zone%5B%5D=North HTTP/1.1" 200 2082
127.0.0.1 - - [26/Jul/2024:12:15:05 +0530] "POST /salesCore/getYearBudgets HTTP/1.1" 200 110
127.0.0.1 - - [26/Jul/2024:12:15:05 +0530] "POST /salesCore/getDashboardData HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [26/Jul/2024:12:15:05 +0530] "GET /sales/yearBudgets?year%5B%5D=2024-25&zone%5B%5D=North&bde%5B%5D=preeti HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [26/Jul/2024:12:15:05 +0530] "GET /sales/getChartData?year%5B%5D=2024-25&zone%5B%5D=North&bde%5B%5D=preeti HTTP/1.1" 200 428
127.0.0.1 - - [26/Jul/2024:12:15:10 +0530] "POST /salesCore/getYearBudgets HTTP/1.1" 200 2883
127.0.0.1 - - [26/Jul/2024:12:15:10 +0530] "POST /salesCore/getDashboardData HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [26/Jul/2024:12:15:10 +0530] "GET /sales/getChartData?year%5B%5D=2024-25&zone%5B%5D=North&bde%5B%5D=Aravind&bde%5B%5D=preeti HTTP/1.1" 200 440
