127.0.0.1 - - [11/Oct/2024:17:15:33 +0530] "POST /salesCore/todayRemindersCount HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:33 +0530] "POST /sales/todayReminders HTTP/1.1" 200 11
127.0.0.1 - - [11/Oct/2024:17:15:33 +0530] "POST /salesCore/getUserReminderDetails HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:33 +0530] "POST /sales/getDueReminders HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:33 +0530] "GET /sales/img/favicon.ico HTTP/1.1" 200 15406
127.0.0.1 - - [11/Oct/2024:17:15:34 +0530] "POST /salesCore/getUserCommonList HTTP/1.1" 200 2415
127.0.0.1 - - [11/Oct/2024:17:15:34 +0530] "POST /salesCore/getAllManagerDetails HTTP/1.1" 200 6896
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/set-target HTTP/1.1" 200 82537
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/fonts/boxicons.css HTTP/1.1" 200 86510
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/css/select2.css HTTP/1.1" 200 26260
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/css/style.css HTTP/1.1" 200 390978
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/img/loading.gif HTTP/1.1" 200 111469
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/js/jquery.js HTTP/1.1" 200 831850
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/js/popper.js HTTP/1.1" 200 57859
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/js/chart.js HTTP/1.1" 200 205657
0:0:0:0:0:0:0:1 - - [11/Oct/2024:17:15:34 +0530] "GET /sales/js/bootstrap.js HTTP/1.1" 200 843148
